"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"287",484,"Mexico","18","7","0",163.7,"1870",64.4488188976378
"288",32,"Argentina","18","7","0",167.6,"1870",65.9842519685039
"289",76,"Brazil","18","7","0",166.5,"1870",65.5511811023622
"290",170,"Colombia","18","7","0",161.085,"1870",63.4192913385827
"291",604,"Peru","18","7","0",161.3,"1870",63.503937007874
"292",53,"Australia and New Zealand","18","7","0",170.053,"1870",66.95
"293",36,"Australia","18","7","0",170.053,"1870",66.95
"294",554,"New Zealand","18","7","0",172.4,"1870",67.8740157480315
"295",4,"Afghanistan","18","7","0",168.4,"1870",66.2992125984252
"296",50,"Bangladesh","18","7","0",163.684,"1870",64.4425196850394
"297",356,"India","18","7","0",163.782,"1870",64.4811023622047
"298",364,"Iran (Islamic Republic of)","18","7","0",168.26,"1870",66.244094488189
"299",586,"Pakistan","18","7","0",165.2,"1870",65.0393700787401
"300",144,"Sri Lanka","18","7","0",162.5,"1870",63.9763779527559
"301",156,"China","18","7","0",165.8,"1870",65.2755905511811
"302",408,"Democratic People's Republic of Korea","18","7","0",163.41,"1870",64.3346456692913
"303",410,"Republic of Korea","18","7","0",163.41,"1870",64.3346456692913
"304",116,"Cambodia","18","7","0",159,"1870",62.5984251968504
"305",360,"Indonesia","18","7","0",158.085,"1870",62.238188976378
"306",418,"Lao People's Democratic Republic","18","7","0",159.1,"1870",62.6377952755905
"307",458,"Malaysia","18","7","0",157.2,"1870",61.8897637795276
"308",104,"Myanmar","18","7","0",161.3,"1870",63.503937007874
"309",608,"Philippines","18","7","0",159.5,"1870",62.7952755905512
"310",764,"Thailand","18","7","0",161.5,"1870",63.5826771653543
"311",704,"Viet Nam","18","7","0",158.3,"1870",62.3228346456693
"312",196,"Cyprus","18","7","0",169.778,"1870",66.8417322834646
"313",792,"Turkey","18","7","0",170.08,"1870",66.9606299212599
"314",398,"Kazakhstan","18","7","0",163.4,"1870",64.3307086614173
"315",762,"Tajikistan","18","7","0",164.8,"1870",64.8818897637795
"316",818,"Egypt","18","7","0",166.88,"1870",65.7007874015748
"317",729,"Sudan (North)","18","7","0",167.99,"1870",66.1377952755905
"318",736,"Sudan (until 2011)","18","7","0",167.99,"1870",66.1377952755905
"319",854,"Burkina Faso","18","7","0",171.2,"1870",67.4015748031496
"320",384,"Cote d'Ivoire","18","7","0",169.756,"1870",66.8330708661417
"321",324,"Guinea","18","7","0",169.885,"1870",66.8838582677165
"322",562,"Niger","18","7","0",167.298,"1870",65.8653543307087
"323",566,"Nigeria","18","7","0",165.612,"1870",65.2015748031496
"324",686,"Senegal","18","7","0",168.157,"1870",66.2035433070866
"325",120,"Cameroon","18","7","0",165.715,"1870",65.242125984252
"326",148,"Chad","18","7","0",169.793,"1870",66.8476377952756
"327",180,"Democratic Republic of the Congo","18","7","0",165.734,"1870",65.2496062992126
"328",454,"Malawi","18","7","0",166.65,"1870",65.6102362204724
"329",508,"Mozambique","18","7","0",167.05,"1870",65.7677165354331
"330",800,"Uganda","18","7","0",168.07,"1870",66.1692913385827
"331",834,"United Republic of Tanzania","18","7","0",167.769,"1870",66.0507874015748
"332",40,"Austria","18","8","0",167.7,"1880",66.0236220472441
"333",280,"Federal Republic of Germany (until 1990)","18","8","0",167.9,"1880",66.1023622047244
"334",250,"France","18","8","0",165.9,"1880",65.3149606299213
"335",276,"Germany","18","8","0",167.9,"1880",66.1023622047244
"336",528,"Netherlands","18","8","0",168.5,"1880",66.3385826771653
"337",756,"Switzerland","18","8","0",166.8,"1880",65.6692913385827
"338",208,"Denmark","18","8","0",169.5,"1880",66.7322834645669
"339",372,"Ireland","18","8","0",168.7,"1880",66.4173228346457
"340",428,"Latvia","18","8","0",170.6,"1880",67.1653543307087
"341",578,"Norway","18","8","0",171.1,"1880",67.3622047244095
"342",752,"Sweden","18","8","0",171.2,"1880",67.4015748031496
"343",826,"United Kingdom of Great Britain and Northern Ireland","18","8","0",167.95,"1880",66.1220472440945
"344",8,"Albania","18","8","0",170.1,"1880",66.9685039370079
"345",191,"Croatia","18","8","0",168.9,"1880",66.496062992126
"346",300,"Greece","18","8","0",167.26,"1880",65.8503937007874
"347",380,"Italy","18","8","0",163.9,"1880",64.5275590551181
"348",620,"Portugal","18","8","0",164.161,"1880",64.6303149606299
"349",688,"Serbia","18","8","0",167.1,"1880",65.7874015748031
"350",891,"Serbia and Montenegro (until 2006)","18","8","0",167.1,"1880",65.7874015748031
"351",724,"Spain","18","8","0",163.9,"1880",64.5275590551181
"352",100,"Bulgaria","18","8","0",167.6,"1880",65.9842519685039
"353",203,"Czech Republic","18","8","0",167.6,"1880",65.9842519685039
"354",200,"Czechoslovakia (until 1993)","18","8","0",167.1,"1880",65.7874015748031
"355",348,"Hungary","18","8","0",169.1,"1880",66.5748031496063
"356",616,"Poland","18","8","0",166.8,"1880",65.6692913385827
