City,Abbr.,County,Alias_Abbr
Palmerdale,AL,JEFFERSON,"Palmerdale, AL"
Pelham,AL,SHELBY,"Indian Springs, AL"
Pelham,AL,SHELBY,"Indian Springs Village, AL"
Pelham,AL,SHELBY,"Pelham, AL"
Pelham,AL,SHELBY,"Indian Spgs, AL"
Pelham,AL,SHELBY,"Indn Spgs Vlg, AL"
Pell City,AL,SAINT CLAIR,"Harrisburg, AL"
Pell City,AL,SAINT CLAIR,"Eden, AL"
Pell City,AL,SAINT CLAIR,"Glen City, AL"
Pell City,AL,SAINT CLAIR,"Pell City, AL"
Pinson,AL,JEFFERSON,"Pinson, AL"
Pinson,AL,JEFFERSON,"Dixiana, AL"
Pleasant Grove,AL,JEFFERSON,"Pleasant Grove, AL"
Pleasant Grove,AL,JEFFERSON,"Pl Grove, AL"
Pleasant Grove,AL,JEFFERSON,"Pleasant Grv, AL"
Quinton,AL,WALKER,"West Jefferson, AL"
Quinton,AL,WALKER,"Quinton, AL"
Quinton,AL,WALKER,"Praco, AL"
Quinton,AL,WALKER,"W Jefferson, AL"
Ragland,AL,SAINT CLAIR,"Ragland, AL"
Remlap,AL,BLOUNT,"Remlap, AL"
Riverside,AL,SAINT CLAIR,"Riverside, AL"
Rockford,AL,COOSA,"Rockford, AL"
Saginaw,AL,SHELBY,"Saginaw, AL"
Sayre,AL,JEFFERSON,"Sayre, AL"
Shannon,AL,JEFFERSON,"Shannon, AL"
Shelby,AL,SHELBY,"Shelby, AL"
Siluria,AL,SHELBY,"Elliotsvle, AL"
Siluria,AL,SHELBY,"Siluria, AL"
Siluria,AL,SHELBY,"Elliotsville, AL"
Siluria,AL,SHELBY,"Elliotsvl, AL"
Springville,AL,SAINT CLAIR,"Springville, AL"
Westover,AL,SHELBY,"Westover, AL"
Sterrett,AL,SHELBY,"Sterrett, AL"
Sumiton,AL,WALKER,"Gravleeton, AL"
Sumiton,AL,WALKER,"Sumiton, AL"
Sycamore,AL,TALLADEGA,"Sycamore, AL"
Sylacauga,AL,TALLADEGA,"Talladega Springs, AL"
Sylacauga,AL,TALLADEGA,"Oak Grove, AL"
Sylacauga,AL,TALLADEGA,"Taladga Spgs, AL"
Talladega,AL,TALLADEGA,"Waldo, AL"
Talladega,AL,TALLADEGA,"Talladega, AL"
Thorsby,AL,CHILTON,"Thorsby, AL"
Trafford,AL,JEFFERSON,"County Line, AL"
Trafford,AL,JEFFERSON,"Trafford, AL"
Trussville,AL,JEFFERSON,"Whites Chapel, AL"
Trussville,AL,JEFFERSON,"Trussville, AL"
Union Grove,AL,MARSHALL,"Union Grove, AL"
Vandiver,AL,SHELBY,"Vandiver, AL"
Vincent,AL,SHELBY,"Vincent, AL"
Vinemont,AL,CULLMAN,"Vinemont, AL"
Vinemont,AL,CULLMAN,"West Point, AL"
Vinemont,AL,CULLMAN,"South Vinemont, AL"
Vinemont,AL,CULLMAN,"S Vinemont, AL"
Warrior,AL,JEFFERSON,"Warrior, AL"
Watson,AL,JEFFERSON,"Watson, AL"
Wattsville,AL,SAINT CLAIR,"Coal City, AL"
Wattsville,AL,SAINT CLAIR,"Wattsville, AL"
Weogufka,AL,COOSA,"Weogufka, AL"
West Blocton,AL,BIBB,"West Blocton, AL"
Wilsonville,AL,SHELBY,"Wilsonville, AL"
Wilton,AL,SHELBY,"Wilton, AL"
Woodstock,AL,BIBB,"Woodstock, AL"
Birmingham,AL,JEFFERSON,"Birmingham, AL"
Birmingham,AL,JEFFERSON,"South Highlands, AL"
Birmingham,AL,JEFFERSON,"Homewood, AL"
Birmingham,AL,JEFFERSON,"Mountain Brk, AL"
