unitid,year,fips,race,sex,completers
109934,2015,6,99,2,89
109934,2015,6,9,99,3
109934,2015,6,1,1,0
109934,2015,6,1,2,8
110060,2014,6,7,1,0
110060,2014,6,7,2,0
110060,2014,6,5,99,0
110060,2014,6,4,1,8
110060,2014,6,4,2,7
110060,2014,6,2,99,1
110060,2014,6,3,1,1
110060,2014,6,3,2,0
110060,2014,6,6,99,0
110060,2014,6,8,1,17
110060,2014,6,8,2,14
110060,2014,6,99,99,49
110060,2014,6,9,1,0
110060,2014,6,9,2,1
110060,2014,6,1,99,0
110060,2015,6,7,99,0
110060,2015,6,5,1,0
110060,2015,6,5,2,0
110060,2015,6,4,99,30
110060,2015,6,2,1,0
110060,2015,6,2,2,4
110060,2015,6,3,99,5
110060,2015,6,6,1,0
110060,2015,6,6,2,0
110060,2015,6,8,99,0
110060,2015,6,99,1,17
110060,2015,6,99,2,28
110060,2015,6,9,99,1
110060,2015,6,1,1,3
110060,2015,6,1,2,2
110097,2014,6,7,1,23
110097,2014,6,7,2,48
110097,2014,6,5,99,5
110097,2014,6,4,1,106
110097,2014,6,4,2,111
110097,2014,6,2,99,30
110097,2014,6,3,1,41
110097,2014,6,3,2,78
110097,2014,6,6,99,4
110097,2014,6,8,1,29
110097,2014,6,8,2,26
110097,2014,6,99,99,1279
110097,2014,6,9,1,22
110097,2014,6,9,2,19
110097,2014,6,1,99,737
110097,2015,6,7,99,79
110097,2015,6,5,1,3
110097,2015,6,5,2,2
110097,2015,6,4,99,261
110097,2015,6,2,1,8
110097,2015,6,2,2,27
110097,2015,6,3,99,185
110097,2015,6,6,1,1
110097,2015,6,6,2,1
110097,2015,6,8,99,50
110097,2015,6,99,1,621
110097,2015,6,99,2,748
110097,2015,6,9,99,27
110097,2015,6,1,1,342
110097,2015,6,1,2,383
110185,2014,6,7,1,1
110185,2014,6,7,2,2
110185,2014,6,5,99,0
110185,2014,6,4,1,2
110185,2014,6,4,2,0
110185,2014,6,2,99,3
110185,2014,6,3,1,4
110185,2014,6,3,2,4
110185,2014,6,6,99,0
110185,2014,6,8,1,0
110185,2014,6,8,2,0
110185,2014,6,99,99,130
110185,2014,6,9,1,55
110185,2014,6,9,2,38
110185,2014,6,1,99,21
110194,2014,6,7,1,0
110194,2014,6,7,2,0
110194,2014,6,5,99,0
110194,2014,6,4,1,0
110194,2014,6,4,2,0
110194,2014,6,2,99,1
110194,2014,6,3,1,4
110194,2014,6,3,2,0
110194,2014,6,6,99,0
110194,2014,6,8,1,0
110194,2014,6,8,2,0
110194,2014,6,99,99,9
110194,2014,6,9,1,0
110194,2014,6,9,2,0
110194,2014,6,1,99,4
110194,2015,6,7,99,0
110194,2015,6,5,1,0
110194,2015,6,5,2,0
110194,2015,6,4,99,3
110194,2015,6,2,1,2
110194,2015,6,2,2,0
110194,2015,6,3,99,5
110194,2015,6,6,1,0
110194,2015,6,6,2,0
110194,2015,6,8,99,0
110194,2015,6,99,1,13
110194,2015,6,99,2,0
